Control_of_Corruption,Poverty_Headcount_Ratio,Year,Voice_Accountability,Regulatory_Quality,Govt_Expenditure_perc_GDP,FDI_Inflows_perc_GDP,Rule_of_Law,Country,Government_Effectiveness,GDP_Growth_annual_perc,External_Debt_perc_GNI,Political_Stability,Risk_Category,Voice_Accountability_flag,Political_Stability_flag,Government_Effectiveness_flag,Regulatory_Quality_flag,Rule_of_Law_flag,Control_of_Corruption_flag,total_flags,corruption_risk,Year_numeric
-1.33247494697571,,2010,-1.12052512168884,-1.06021749973297,25.6491757416689,-3.85111149953586,-1.27295327186584,Angola,-1.13826775550842,4.39837593810763,35.3911613090284,-0.226182341575623,High-Risk,1,1,1,1,1,1,6,1,2010
-1.36746907234192,,2011,-1.12547838687897,-1.10753154754639,26.671321487158,-2.70487323645008,-1.27705323696136,Angola,-1.19323122501373,3.47205314798103,33.9687833337354,-0.369237810373306,High-Risk,1,1,1,1,1,1,6,1,2011
-1.30240142345428,,2012,-1.07624673843384,-0.990437567234039,23.4498300606546,-1.14376777921662,-1.30477690696716,Angola,-0.988945424556732,8.54210707584141,30.7446796123415,-0.389322549104691,High-Risk,1,1,1,1,1,1,6,1,2012
-1.33697164058685,,2013,-1.11391913890839,-1.0416704416275,28.2092373749944,-5.38013099536349,-1.29094779491425,Angola,-1.24288654327393,4.95461303112738,35.3141708088895,-0.39123347401619,High-Risk,1,1,1,1,1,1,6,1,2013
-1.45822596549988,,2014,-1.14532363414764,-0.860683441162109,27.967359355335,2.69000564690096,-1.07495403289795,Angola,-1.05657386779785,4.82255926962156,35.9601982257134,-0.333232045173645,High-Risk,1,1,1,1,1,1,6,1,2014
-1.42772650718689,,2015,-1.17716491222382,-0.8636714220047,20.8188316179919,11.0813390258994,-1.03065872192383,Angola,-0.929087340831757,0.943571561325001,56.7801551813803,-0.50538581609726,High-Risk,1,1,1,1,1,1,6,1,2015
-1.48399043083191,,2016,-1.14032745361328,-0.969250917434692,17.5116639833286,-0.340242828705014,-1.00395023822784,Angola,-0.971493542194366,-2.58004964404932,114.845094739154,-0.321580082178116,High-Risk,1,1,1,1,1,1,6,1,2016
-1.44517171382904,,2017,-1.09524345397949,-1.04546654224396,16.671137232855,-10.0383767819736,-1.03998208045959,Angola,-0.951988995075226,-0.147212941085755,84.9404832711627,-0.387895494699478,High-Risk,1,1,1,1,1,1,6,1,2017
-1.19948387145996,39.3,2018,-0.903594315052032,-0.8006831407547,15.6076580956447,-8.12589110876485,-1.00106203556061,Angola,-1.00525164604187,-1.31636168896895,84.2843625797666,-0.347208589315414,High-Risk,1,1,1,1,1,1,6,1,2018
-1.05461812019348,,2019,-0.793109953403473,-0.833844542503357,16.6849522138374,-5.78081314286634,-1.02354824542999,Angola,-1.1284898519516,-0.702272957616017,96.5947267900598,-0.368411600589752,High-Risk,1,1,1,1,1,1,6,1,2019
-0.93506121635437,,2020,-0.816005945205688,-0.856853485107422,,-3.84826398729862,-0.951058804988861,Angola,-1.25748455524445,-5.63821471714934,148.159899274824,-0.599917888641357,High-Risk,1,1,1,1,1,1,6,1,2020
-0.649475812911987,,2021,-0.859023571014404,-0.670014679431915,,-6.54854227564071,-0.983753621578217,Angola,-1.1263599395752,1.19921052145153,108.138096106725,-0.710480749607086,High-Risk,1,1,1,1,1,1,6,1,2021
-0.612375736236572,,2022,-0.807577967643738,-0.606698572635651,,-6.32056384328187,-1.02203571796417,Angola,-1.02603423595428,3.04472652391918,62.7299371223109,-0.630108535289764,High-Risk,1,1,1,1,1,1,6,1,2022
-0.60992020368576,,2023,-0.737252414226532,-0.761388182640076,,-2.49735273623951,-1.09906601905823,Angola,-1.00890958309174,1.07809951970673,74.300461802381,-0.34150505065918,High-Risk,1,1,1,1,1,1,6,1,2023
