Country,Year,Voice_Accountability,Political_Stability,Government_Effectiveness,Regulatory_Quality,Rule_of_Law,Control_of_Corruption,External_Debt_perc_GNI,GDP_Growth_annual_perc,Govt_Expenditure_perc_GDP,FDI_Inflows_perc_GDP,Poverty_Headcount_Ratio
Canada,2010,1.35265874862671,0.936318218708038,1.77782678604126,1.69343030452728,1.79859042167664,2.06187319755554,,3.09080634469335,19.0847071449408,1.83725638740881,0.2
Canada,2011,1.38014459609985,1.07717573642731,1.77254545688629,1.68484020233154,1.72711992263794,1.97113347053528,,3.13719442170364,17.8502680006291,2.13783310760835,0.2
Canada,2012,1.43750536441803,1.11301624774933,1.75697004795074,1.70719468593597,1.75642120838165,1.91890442371368,,1.75566129145483,17.5175199279774,2.70016900895675,0.2
Canada,2013,1.45344030857086,1.06142175197601,1.78074109554291,1.72989094257355,1.74750757217407,1.87937796115875,,2.32581354806429,17.0848821579089,3.62980398357005,0.5
Canada,2014,1.41233158111572,1.17550384998322,1.75371766090393,1.83872532844543,1.88629722595215,1.83219265937805,,2.87346677785811,16.4020498301416,3.55390337011002,0.2
Canada,2015,1.46729922294617,1.26233685016632,1.7309353351593,1.70605802536011,1.8071414232254,1.84565019607544,,0.649971001734855,17.0597786823228,3.85389453706153,0.5
Canada,2016,1.44561123847961,1.24041163921356,1.7445410490036,1.72741413116455,1.8009147644043,1.94446551799774,,1.03855092490855,17.498604071126,2.23835012140903,0.5
Canada,2017,1.47808432579041,1.08968114852905,1.81557297706604,1.87965595722198,1.76343929767609,1.88144600391388,,3.03383491200222,17.6065954076372,1.53752071953934,0.5
Canada,2018,1.50241100788116,0.963971078395844,1.67513394355774,1.69941985607147,1.71514165401459,1.79020822048187,,2.74296344906655,17.5409004540917,2.46931207254863,0.2
Canada,2019,1.43030834197998,0.994933545589447,1.69731068611145,1.71000242233276,1.71977615356445,1.72989678382874,,1.90843194590616,18.1057096781026,2.80676687017653,0.2
Canada,2020,1.47166883945465,1.01318228244781,1.59831285476685,1.5925897359848,1.61910331249237,1.56571280956268,,-5.03823343468899,28.5714736058033,1.75897085668576,0.2
Canada,2021,1.44535887241364,0.962336957454681,1.5614572763443,1.61376404762268,1.59289026260376,1.61626875400543,,5.95052802804381,22.4985744222565,2.97618288160973,0.2
Canada,2022,1.44002974033356,0.780681550502777,1.56661772727966,1.67709279060364,1.56462013721466,1.65857303142548,,4.18903628100851,18.2522606578883,2.29317324184365,
Canada,2023,1.4796462059021,0.822420537471771,1.51680326461792,1.64471042156219,1.47300565242767,1.67150104045868,,1.52874550838358,19.2603133808938,1.93601776565032,
Canada,2024,,,,,,,,1.5280811085284,,2.62340440884912,
Malaysia,2010,-0.49994820356369,0.143352136015892,1.04647839069366,0.611249983310699,0.39389044046402,0.0570844486355782,,7.42484738326097,18.2319253890148,4.26864663854031,
Malaysia,2011,-0.474874913692474,0.0774097666144371,0.98675674200058,0.547134578227997,0.402631521224976,0.022571574896574,,5.29391283414003,19.7347795900774,5.07446032143377,0.4
Malaysia,2012,-0.346539199352264,-0.00521240243688226,0.906338155269623,0.477169960737228,0.379769444465637,0.213312953710556,,5.47345419253853,20.9798770041143,2.82905738174529,
Malaysia,2013,-0.339791119098663,0.0517915934324265,0.993431925773621,0.567808210849762,0.341337561607361,0.333269119262695,,4.69372252557893,20.6021204303102,3.49431175959971,0.1
Malaysia,2014,-0.360449194908142,0.266619145870209,1.14593541622162,0.799231290817261,0.524089753627777,0.396519064903259,,6.00672194558203,19.6835443850248,3.14122940365348,
Malaysia,2015,-0.391403198242188,0.25394731760025,0.91708517074585,0.704775094985962,0.402504026889801,0.181636169552803,,5.09153242155011,18.2910432040136,3.27094402931735,0.1
Malaysia,2016,-0.416713893413544,0.129485934972763,0.817718744277954,0.663995385169983,0.387877881526947,0.0274246502667665,,4.44978139761541,16.7638213141114,4.47130958598651,
Malaysia,2017,-0.398660808801651,0.111209630966187,0.77773243188858,0.671388506889343,0.388218402862549,-0.00609472393989563,,5.81272240983328,15.8258190286835,2.9358203805856,
Malaysia,2018,-0.099500760436058,0.248113676905632,1.05388987064362,0.575907409191132,0.529206156730652,0.299851536750793,,4.84308697634881,15.9220579344968,2.31458721219734,0.0
Malaysia,2019,-0.0477054789662361,0.14648012816906,0.967774987220764,0.547572374343872,0.4915691614151,0.232962101697922,,4.41318742129586,17.3574598059896,2.50697705748044,
Malaysia,2020,-0.154460147023201,0.125864699482918,1.02225887775421,0.666613459587097,0.573119819164276,0.228581383824348,,-5.45684658426701,18.4715851445262,1.20275464255821,
Malaysia,2021,-0.164951831102371,0.0595565475523472,0.952433526515961,0.714465439319611,0.532065808773041,0.146233186125755,,3.31534954399166,17.2542689687307,5.41625984914689,0.0
Malaysia,2022,0.000423186487751082,0.163117811083794,0.992667615413666,0.644006609916687,0.561419248580933,0.248940765857697,,8.86182187578046,17.9061514875177,3.68689336269236,
Malaysia,2023,0.0876194089651108,0.16851469874382,0.875369668006897,0.660894274711609,0.571915447711945,0.295621365308762,,3.55548715410509,17.0192684093425,1.98111065098392,
Malaysia,2024,,,,,,,,5.11415547829091,,3.69532630320574,
Mozambique,2010,-0.120654635131359,0.394421875476837,-0.616408288478851,-0.453413218259811,-0.487646609544754,-0.436986297369003,101.617142296998,6.67972935662864,19.6201763346953,11.0275561357338,
Mozambique,2011,-0.199520617723465,0.332048267126083,-0.650063931941986,-0.473082095384598,-0.579845726490021,-0.496196299791336,93.7502668447009,7.13405842300445,21.2948647268172,25.0623636819297,
