country,headline,url,date,snippet,year,month,window_start,window_end
Iraq,First charges laid in Unaoil bribery scandal,http://www.areanews.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T083000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.dailyliberal.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T094500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.maitlandmercury.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T084500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.redlandcitybulletin.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T070000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.parramattasun.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T083000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.bunburymail.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T083000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.northweststar.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T090000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.southernhighlandnews.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T223000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.dailyadvertiser.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T223000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.mudgeeguardian.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T004500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.illawarramercury.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T004500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.lithgowmercury.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T013000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.wollondillyadvertiser.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T010000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.theherald.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171117T230000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.centralwesterndaily.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T001500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,First charges laid in Unaoil bribery scandal,http://www.westernadvocate.com.au/story/5064013/first-charges-laid-in-unaoil-bribery-scandal/,20171118T000000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq, .: Middle East Online :::. ,http://www.middle-east-online.com/english/?id=85518,20171020T173000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,"Курдистан заявил , что пешмерга готова защитить интересы автономии",https://ria.ru/world/20171102/1508034521.html,20171101T220000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
